OBJECTID,advisorySpeed,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,lat,lng
3520,,0,,0,2,,Null,2001/2002,PEACE ST,MCGARVEY ROAD,,Non-Injury Crash,No,2002,,West,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,Whakatane District,Stop,,,,,0,0,Urban,0,,,Light rain,Null,-37.9536348363383,176.986651451393

3600,,0,0,0,2,0,North,2001/2002,PARALLEL ACCESS,TIDD ST,,Non-Injury Crash,No,2002,0,North,0,0,0,Hill Road,0,,0,,0,Dark,0,0,0,2,0,0,0,0,1,,0,1,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Hamilton City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-37.8006982108468,175.280877358423

3680,,0,0,0,2,0,South,2001/2002,ROKINO ROAD,TAHAREPA ROAD,,Non-Injury Crash,No,2002,0,East,0,0,0,Hill Road,0,,0,,0,Dark,0,0,0,2,0,0,0,0,1,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Taupo District,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null,-38.6978119684805,176.09022279385

3760,,0,,0,1,,South,2001/2002,SH 1N,MOUNTAIN OBR,,Non-Injury Crash,Yes,2002,,South,,0,,Flat,,,,,,Dark,0,0,0,2,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,50,,On,0,0,,Auckland,Nil,,,,,0,0,Urban,1,,,Fine,Null,-36.8691027220943,174.770591385036

3840,,0,,0,2,,Null,2002/2003,SH 1N,OLD BAY ROAD,,Non-Injury Crash,Yes,2002,,West,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Northland Region,Nil,2-way,Sealed,,0,0,,100,,Off,0,0,,Far North District,Nil,,,,,0,0,Open,0,,,Light rain,Null,-35.3437176377356,173.905175300897

3920,,0,0,0,2,0,Null,2002/2003,WHITE SWAN ROAD,RICHARDSON ROAD,,Non-Injury Crash,No,2002,0,North,0,0,0,Flat,0,,0,,0,Bright sun,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,0,1,0,Fine,Null,-36.9125631274742,174.727898095783

4000,,0,,0,2,,East,2001/2002,MOUNT ALBERT ROAD,PAH ROAD,,Non-Injury Crash,No,2002,,West,,0,,Flat,,,,,,Bright sun,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null,-36.9106598699468,174.769621097675
